english,amazigh,tifinagh,script
Hi,Azul,,Latin
Hi,Azul fellak,,Latin
Hi,Azul fellam,,Latin
Hi,Azul fellawen,,Latin
Hi,Azul fellawent,,Latin
Hi,,ⴰⵣⵓⵍ,tifinagh
Hi,azul,,Latin
Run,Azzel,,Latin
Run,,ⴰⵣⵣⵍ,tifinagh
Who,Anwa,,Latin
Wow,Mmuqqel kan,,Latin
Wow,Ayaa,,Latin
Wow,,ⵜⵉⵍⵉⵍⴰ,tifinagh
Fire,Times,,Latin
Fire,Qerrset,,Latin
Fire,Qerres,,Latin
Fire,Qerrsemt,,Latin
Fire,Timsi,,Latin
Fire,,ⵜⴰⴽⴰⵜ,tifinagh
Help,Abbuh,,Latin
Help,,ⴰⵡⵙ,tifinagh
Jump,,ⵏⴹⴻⵔ,tifinagh
Jump,,ⵏⴹⴻⵕ,tifinagh
Stop,Ḥbes,,Latin
Stop,Bded,,Latin
Stop,,ⴱⵉⴷⴷ,tifinagh
Wait,Ggani,,Latin
Wait,,ⵇⵇⴻⵍ,tifinagh
Wait,Ṛju,,Latin
Begin,Bdu,,Latin
Do it,Egitt,,Latin
Go on,Kemmel,,Latin
Hello,Azul,,Latin
Hello,,ⴰⵣⵓⵍ,tifinagh
Hurry,Ɣiwel,,Latin
I box,Ttgeɣ taleggimt,,Latin
I hid,Ffreɣ,,Latin
I ran,Nekk uzzleɣ,,Latin
I see,Gziɣ,,Latin
I see,Walaɣ,,Latin
I see,Ttwaliɣ,,Latin
I try,La ɛerrḍeɣ,,Latin
I try,La ttarmeɣ,,Latin
I try,,ⴰⵔ ⵜⵜⴰⵔⴻⵎⵖ,tifinagh
Shoot,Qres,,Latin
Smile,Zmumeg,,Latin
Ask me,Tteriyid,,Latin
Ask me,Ttretiyid,,Latin
Ask me,Ttremiyid,,Latin
Ask me,Ttremtiyid,,Latin
Attack,Nṭeg,,Latin
Attack,Neṭget,,Latin
Attack,Neṭgem,,Latin
Attack,Neṭgemt,,Latin
Cheers,S tezmertnnek,,Latin
Cheers,,ⵙ ⵜⴷⵓⵙⵉ ⵏⵏⴻⴽ,tifinagh
Eat it,Eččit,,Latin
Got it,Tfehmeḍ,,Latin
He ran,Yuzzel,,Latin
He ran,Yella yettazzal,,Latin
Hop in,Neggezd,,Latin
Hop in,Neggzetd,,Latin
Hop in,Neggzemd,,Latin
Hop in,Neggzemtd,,Latin
Hop in,Alid,,Latin
Hop in,Alitd,,Latin
Hop in,Alimd,,Latin
Hop in,Alimtd,,Latin
Hug me,Ḥmeciyi,,Latin
I know,Ẓriɣ,,Latin
I know,Nekk ẓriɣ,,Latin
I left,Ddiɣ,,Latin
I left,Ffɣeɣ,,Latin
I left,Nekk ddiɣ,,Latin
I lost,Xeṣreɣ,,Latin
I lost,Brareɣ,,Latin
I sang,Nekk cniɣ,,Latin
I work,Nekk xeddmeɣ,,Latin
